Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
CST6	9606.ENSP00000311313	2	0	0.21744966442953	0.00282262501135857	0.000888850265706342	-2.45782369117566	315	0.730233
SH2D5	9606.ENSP00000406026	2	0	0.21259842519685	0.00278934424223659	0.000944802386533073	-2.46017250827484	316	0.732558
STXBP5L	9606.ENSP00000273666	2	0	0.181410974244121	0.000204459617961497	0.00136915152748227	-2.46815647286106	317	0.734884
SYT14	9606.ENSP00000486230	2	0	0.181410974244121	0.000204459617961495	0.00136915152748227	-2.46815647286106	318	0.737209
GGT6	9606.ENSP00000370962	2	0	0.205975842339479	0.00076204199700712	0.0010421248636567	-2.47309520103758	319	0.739535
AUNIP	9606.ENSP00000443647	2	0	0.214427531436135	0.00146609051585509	0.000898749855852534	-2.48432711470045	320	0.74186
DLX6	9606.ENSP00000428480	2	0	0.211626387981711	0.00130560859264639	0.000913009662979155	-2.49562382443263	321	0.744186
KRT81	9606.ENSP00000369349	2	0	0.210663198959688	0.00346990863686228	0.000864900626778816	-2.50261792143266	322	0.746512
CDK5R2	9606.ENSP00000304250	2	0	0.206632653061224	0.00292698034047631	0.000924239914731376	-2.50358936970429	323	0.748837
UNC5D	9606.ENSP00000385143	2	0	0.204545454545455	0.00088389473419395	0.000954027325121786	-2.52198673921116	324	0.751163
BARX1	9606.ENSP00000253968	2	0	0.200867947923125	0.00118686942631122	0.000992160441970793	-2.52254342624732	325	0.753488
NR0B1	9606.ENSP00000368253	2	0	0.202753441802253	0.000521558124371663	0.000977366534969872	-2.52505685352536	326	0.755814
COL25A1	9606.ENSP00000382083	2	0	0.201743462017435	0.00188442324310822	0.000946828743975809	-2.53194651016947	327	0.75814
TM4SF5	9606.ENSP00000270560	2	0	0.168224299065421	3.88156986261565e-05	0.0013935775605108	-2.53570634231462	328	0.760465
SLC46A2	9606.ENSP00000363345	2	0	0.177631578947368	0.000219021469542039	0.00126115101403127	-2.54133034060804	329	0.762791
SLC9A4	9606.ENSP00000295269	2	0	0.177631578947368	0.000219021469542042	0.00126115101403127	-2.54133034060804	330	0.765116
EPS8L3	9606.ENSP00000358820	2	0	0.196482716798059	0.000469086262921096	0.00100952167023624	-2.54719768040006	331	0.767442
FAIM2	9606.ENSP00000321951	2	0	0.182741116751269	0.00100256169904266	0.00115897662203231	-2.55191019543544	332	0.769767
C10orf71	9606.ENSP00000363259	2	0	0.15929203539823	1.43252486790075e-05	0.001446888955153	-2.56319335439282	333	0.772093
MYO3B	9606.ENSP00000386213	2	0	0.15929203539823	1.43252486790073e-05	0.001446888955153	-2.56319335439282	334	0.774419
SLC22A31	9606.ENSP00000474621	2	0	0.174757281553398	0.00013358536468534	0.00123593443303923	-2.57099707275162	335	0.776744
CRHR2	9606.ENSP00000340943	2	0	0.171974522292994	0.00016571403993401	0.00126373407444561	-2.57387014928101	336	0.77907
INSYN1	9606.ENSP00000457205	2	0	0.160316674913409	1.51718686596208e-05	0.00137761732843398	-2.58995035067821	337	0.781395
NPAS3	9606.ENSP00000348460	2	0	0.195416164053076	0.00115589953179416	0.000904066385137214	-2.59657189128254	338	0.783721
TMEM179	9606.ENSP00000450958	2	0	0.140077821011673	4.01332128891218e-06	0.00161367392384759	-2.59723999189688	339	0.786047
NXF3	9606.ENSP00000378504	2	0	0.198529411764706	0.00084275748969067	0.000868305245911015	-2.59830822175691	340	0.788372
ADGRD1	9606.ENSP00000444425	2	0	0.174851592012952	0.000170127643736566	0.00117286401595412	-2.59993119804875	341	0.790698
RGS20	9606.ENSP00000297313	2	0	0.174851592012952	0.000170127643736568	0.00117286401595412	-2.59993119804875	342	0.793023
ETNPPL	9606.ENSP00000296486	2	0	0.195652173913043	0.00258469074744059	0.000863383575823783	-2.60029010334583	343	0.795349
HCN1	9606.ENSP00000307342	2	0	0.18567335243553	0.000158103640552	0.00101794790025972	-2.60979292647849	344	0.797674
TNFRSF10C	9606.ENSP00000349324	0	0	NA	3.92773427917653e-20	0.000420109228401381	NA	345	0.8
HSD17B13	9606.ENSP00000333300	0	0	NA	3.92773427917653e-20	0.000420109228401381	NA	346	0.802326
PTCHD4	9606.ENSP00000341914	0	0	NA	3.92773427917653e-20	0.000420109228401381	NA	347	0.804651
